user_id,image_paths,user_claim,claim_object,evidence_standard_met,evidence_standard_met_reason,risk_flags,issue_type,object_part,claim_status,claim_status_justification,supporting_image_ids,valid_image,severity
user_001,images/sample/case_001/img_1.jpg,"Customer: Hi, I found new damage on my car after it was parked outside overnight. | Support: Sorry to hear that. Can you describe what changed? | Customer: The back of the car has a dent now. It was not there before. | Support: Did anything else break or is it mostly body damage? | Customer: Mostly the rear bumper area. I attached the photo I took this morning.",car,True,"The image set provides a clear view of the car's rear bumper, which is the claimed object and part. The damage is visible and can be assessed.",none,dent or scratch,rear bumper,supported,"The image shows the car's rear bumper with a visible dent, which is consistent with the claim of a dent or scratch. The damage is clearly visible and can be assessed.",image_001,True,medium
user_002,images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg,"Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.",car,True,"The image set provides a clear view of the car's front end, allowing for a thorough assessment of the claimed damage.",none,dent or scratch,car panel,supported,"The image shows a visible dent on the car's panel, which is consistent with the claim of a dent or scratch. The damage is clearly visible and appears to be the result of a collision or impact.",image_001,True,medium
user_004,images/sample/case_003/img_1.jpg;images/sample/case_003/img_2.jpg,"Customer: I am opening a claim for my windshield. | Support: What happened? | Customer: A small stone hit it while I was driving and now there is a crack spreading from that spot. | Support: Is the car otherwise okay? | Customer: Yes, this is only about the front glass. I added the pictures I have.",car,True,"The image set provides a clear view of the car's windshield and the damage, which is sufficient to evaluate the claim.",none,crack,windshield,supported,"The image shows a visible crack in the windshield of the car, which is the claimed object and part. The crack is clearly visible and appears to be the result of an impact, which is consistent with the claim. The image is of good quality and provides a clear view of the damage.",image_001,True,medium
user_007,images/sample/case_004/img_1.jpg,"Customer: Someone clipped my car while it was parked. | Support: What part was hit? | Customer: The side mirror got damaged. It is not sitting the way it should anymore. | Support: Was there any damage to the door too? | Customer: I did not notice anything else major, just the mirror.",car,True,"The image set provides a clear view of the car's side and the damage, which is sufficient to evaluate the claim.",none,dent or scratch,car panel,supported,"The image shows a visible dent on the car panel, which is consistent with the claim. The car's side and the damage are clearly visible, allowing for a thorough assessment.",image_001,True,medium
user_005,images/sample/case_005/img_1.jpg;images/sample/case_005/img_2.jpg,"Customer: I want to file this as bumper damage. | Support: Can you tell me what happened? | Customer: The car was tapped from behind and now the back looks damaged. | Support: Are you asking for review of the rear side? | Customer: Yes, the back bumper. It looks pretty bad to me, so I uploaded both photos.",car,True,"The image set provides a clear view of the car's rear bumper, allowing for a thorough assessment of the claimed damage.",user_history_risk,dent or scratch,rear bumper,contradicted,The image does not show any visible damage to the car's rear bumper. The surface appears smooth and undamaged.,none,True,none
user_006,images/sample/case_006/img_1.jpg,"Customer: Hi, I am not fully sure how to explain this because I noticed it only after reaching home. | Support: No problem, please tell me what happened. | Customer: There was a small bump earlier, nothing major, and I first thought everything was fine. Later I looked at the car again because my family member said the front area looked different. | Support: Are you reporting a general vehicle issue or a specific damaged part? | Customer: I was confused at first because I checked the side and the front and walked around the car a few times. I do not want to claim the wrong thing. | Support: That is okay. What part do you want reviewed? | Customer: After checking again, I think the issue is with the headlight. It looks like the headlight may be cracked, so please review that part.",car,True,"The image set provides a clear view of the car's side and the sun glare on the vehicle's surface, which allows for a thorough assessment of the claimed condition.",none,dent or scratch,car panel or bumper,supported,"The image shows the car's side with a visible dent or scratch, which is consistent with the claim description. The angle of the photo allows for a clear view of the damage.",image_001,True,medium
user_003,images/sample/case_007/img_1.jpg;images/sample/case_007/img_2.jpg,"Customer: There is a dent along the side of my car. | Support: When did you notice it? | Customer: This morning, after the car had been parked near the gate. | Support: Is it near the front or back? | Customer: It is on the door panel area. I attached two photos from different distances.",car,True,"The image set provides a clear view of the car's side, allowing for a thorough assessment of the claimed damage.",none,dent or scratch,car panel,supported,"The image shows a visible dent on the car panel, which is consistent with the claim of a dent or scratch.",image_001,True,medium
user_008,images/sample/case_008/img_1.jpg,"Customer: I picked up my car after service and noticed a mark on the hood. | Support: What kind of mark is it? | Customer: It looks like a scratch across the top panel. | Support: Do you think it happened during service? | Customer: Yes, that is why I am asking for review. The photo is attached.",car,True,"The image set provides a clear view of the car's front end, allowing for a thorough assessment of the damage.",user_history_risk,dent or scratch,car panel,supported,"The image shows a visible dent on the car's panel, which is consistent with the claim description.",none,True,medium
user_009,images/sample/case_009/img_1.jpg,"Customer: My laptop fell from the table yesterday. | Support: Is it turning on? | Customer: It turns on, but the display glass has a crack now. | Support: Are you reporting the screen only or the whole laptop? | Customer: The screen is the issue. I attached a photo of it open.",laptop,True,"The image provides a clear view of the laptop's screen and keyboard, allowing for a thorough inspection of the claimed condition.",none,screen,screen,supported,"The image shows a cracked screen on the laptop, which is consistent with the claim.",image_001,True,medium
user_010,images/sample/case_010/img_1.jpg;images/sample/case_010/img_2.jpg,"Customer: The laptop no longer opens smoothly. | Support: What seems to be wrong mechanically? | Customer: The hinge area has broken and the screen wobbles. | Support: Did this happen after a drop? | Customer: Yes, it slipped from the sofa. I uploaded photos from the outside and side.",laptop,True,"The image set provides clear visual evidence of the claimed object and part, allowing for a thorough inspection of the claimed condition.",none,screen,screen,supported,"The image shows a laptop with a visible screen, which is the claimed object and part. The screen appears to be intact without any visible cracks or damage. The user history indicates that there was a previous hinge claim, which was accepted with clear evidence. The current claim does not show any damage to the screen, and the image is of sufficient quality to evaluate the claim.",image_001,True,low
